Node Amount:30
Converged, Iterations:3
Node,    Voltage,    Radian,    P,    Q
-
1,  1.060000,  0.000000,  2.010037,  -0.072845
2,  1.043000,  -0.073128,  -0.017000,  0.373000
3,  1.025897,  -0.093782,  -0.024000,  -0.012000
4,  1.017457,  -0.115083,  -0.076000,  -0.016000
5,  1.010000,  -0.192677,  -0.792000,  0.180000
6,  1.013980,  -0.136715,  0.000000,  0.000000
7,  1.004606,  -0.168856,  -0.228000,  -0.109000
8,  1.010000,  -0.141584,  -0.120000,  0.073000
9,  1.053422,  -0.159910,  0.000000,  0.000000
10,  1.048172,  -0.191972,  -0.058000,  -0.020000
11,  1.082000,  -0.123404,  0.200000,  0.162000
12,  1.060853,  -0.174257,  -0.112000,  -0.075000
13,  1.071000,  -0.149610,  0.200000,  0.106000
14,  1.046046,  -0.190555,  -0.062000,  -0.016000
15,  1.041105,  -0.192974,  -0.082000,  -0.025000
16,  1.047653,  -0.186306,  -0.035000,  -0.018000
17,  1.043088,  -0.193953,  -0.090000,  -0.058000
18,  1.031467,  -0.204663,  -0.032000,  -0.009000
19,  1.028898,  -0.208296,  -0.095000,  -0.034000
20,  1.032930,  -0.205214,  -0.022000,  -0.007000
21,  1.035780,  -0.200119,  -0.175000,  -0.112000
22,  1.036298,  -0.200022,  0.000000,  0.000000
23,  1.030288,  -0.202113,  -0.032000,  -0.016000
24,  1.024299,  -0.208382,  -0.087000,  -0.067000
25,  1.018779,  -0.208603,  0.000000,  0.000000
26,  1.001128,  -0.215906,  -0.035000,  -0.023000
27,  1.024019,  -0.204254,  0.000000,  0.000000
28,  1.009730,  -0.144731,  0.000000,  0.000000
29,  1.004197,  -0.225688,  -0.024000,  -0.009000
30,  0.992732,  -0.241072,  -0.106000,  -0.019000
